Entry Number,Title,Artist,Residence.,Country,Category
328,Landscape,"Kruseman Van Elite, H. D.",Holland,Holland,Landscape
329,"Landscape, View Of A Lake And Alps,",Tepping,Switzerland,Switzerland,Landscape
330,"The Donkey Trader,",Luminais,France,France,Genre
331,Landscape With Cattle,"Torn, J. B.",Holland,Holland,Landscape
332,"Cupid Whispering A Secret To Venus,",Schiavoni,Austria,Austria,Mythological
333,"Ruins Of Kerry House, County Kerry, Ireland,","Varley, Cornelius",England,UK,Landscape
334,"Two Ladies Reading By Lamp-Light,","Kiers, P.",Holland,Holland,Genre
335,"Calmness,",Schiavoni,Austria,Austria,Genre
336,Flowers,"Haan, Adrian",Holland,Holland,Still life
337,"View Of The Little Village Of L'Etang La Ville, In France,","Ricois, M.",France,France,Landscape
338,Landscape,"Klerk, W. D.",Holland,Holland,Landscape
339,"Jacob And Benjamin,","Mullings, L. G. C.",Holland,Holland,Religious
340,View In Switzerland,Tepping,Switzerland,Switzerland,Landscape
341,"Castle Of Usse, Near Tours, In France,","Ouvrie, Justin",France,France,Castle
342,"Winter Scene, Skaters,","Haus, J. G.",Holland,Holland,Landscape
343,"A Steamer Near The Coast,","Kannemans, C. C.",Holland,Holland,Maritime
344,"The Arch Of Drusus In Rome,","Baker, F. W.",London,UK,Landscape
345,"Landscape And Bridge,",Dubourcq,Holland,Holland,Landscape
346,"Leonora,",Unknown,Germany,Germany,Unknown
347,"Cattle Near The Water,","Huygens, F. S.",Holland,Holland,Landscape
348,Flowers,"Noth, Johanna",Holland,Holland,Still life
349,"Original Correggio On Parchment, Propery Of Mr. Prayer, New York,",Correggio,Italy,Italy,Unknown
350,Landscape With Cattle,"Klerk, W. D.",Holland,Holland,Landscape
351,"Shipping In A Bay,","Vander Blyk, F. J.",Holland,Holland,Maritime
352,"Napoleon,",,,,Portrait
353,"Winter Forest Scene,","Mirani, E. P.",Holland,Holland,Landscape
354,"Evening Market Scene,","Groopvert,",Holland,Holland,Genre
355,"Company Playing Cards,","SacrÃ©,",Holland,Holland,Genre
356,"View At Clisson, Near Nantes,","Pinel, M.",France,France,Landscape
357,"Loch Long, Pertshire, Scotland,","Ferguson, Jas.",England,UK,Landscape
358,"View On A Lake In Switzerland,",Guignan,Geneva,Switzerland,Landscape
359,"A View In Flanders,","Ruysdael, Solomon, born 1616 died 1670.",,,Landscape
360,"Portrait Of Mdme. De Maintenon,","Mignard, Pierre",,,Portrait
361,Interior Of A Forest,"Verburg, , born 1690",,,Landscape
362,"A View In Flanders,","Ruysdael, Solomon",,,Landscape
363,"Head Of The Virgin,","Del Sarto Vannuchi, Andrea, born 1488, died 1530.",,,Religious
364,"Portrait Of Arnold Booner,","Booner, Arnold, born 1699, died 1729.",,,Portrait
365,"The Temptation Of St. Anthony,","Teniers, David, born 1610, died 1694.",,,Religious
366,"Sea Port, With Statues,","Linglbach, born 1625, died 1687., John",,,Maritime
368,"Battle,","Tempesta, Antonio",,,Battle
369,"Italian Scene,","Van Laar, Peter, or Bamboicio, born 1613, died 1675.",,,Landscape
370,"Adoration Of The Magi,","Maratti, Carlo, born 1625 died 1713.",,,Religious
371,"Magdalen Before The Cross,","Cavaliere Mattra, Preti, called the ""Calabrese,"" born 1613, died 1699.",,,Religious
372,372 Magdalen With Vase,"Francesca Barbieri Guernico, Giovanni, born 1590, died 1666.",,,Religious
373,"Marine Piece,","Vernet, Joseph, born 1712 died 1789.",,,Maritime
374,"Interior,","Van Ostade, Adrien, b. 1610, d. 1695.",,,Interior
375,"A Head,","Probus, Francis, born 1570, died 1622.",,,Unknown
376,"Historical Landscape,","dughet Puissin, Caspar, b. 1613 d. 1675.",,,Landscape
377,"""Battle,""","Tempesta, Antonio",,,Battle
378,"Siege-Battle, Horses, And War-Riors,","Tempesta, Antonio",,,Battle
379,Landscape,"Ruysdael, Solomon",,,Landscape
380,"Portrait Of Prince Fedrinand,","Rubens, Sir Anthony",,,Portrait
381,"Lansdcape-Forest, With Bridge, And Figures,",,,,Landscape
382,"Pastel Study Of An Egyptian Lady,","Ruysdael De Leomenil, Jacob, born 1626, died 1681.",France,France,Portrait
383,Landscape,"Koekoek, B. C.",Holland,Holland,Landscape
384,"Landscape-In A Gale,",Dubourcq,Holland,Holland,Landscape
385,"The Old House Of Rev. Mr. Williams Which Escaped The Conflagration In Deerfield, Mass., In 1704,","Havell, Robt.",United States,USA,Building
386,"Moonlight Landscape,","Ven, Vander",Holland,Holland,Landscape
387,Flowers,Adelina,Paris,France,Still life
388,"Painting On Porcelain,",Unknown,England,UK,Unknown
389,Forest Scene,"Rademaker, H. E.",Holland,Holland,Landscape
390,"View On The Briel, Holland,","Hulk, A.",Holland,Holland,Landscape
391,"A Domino And Shepherdess Of The Time Of Louis Xv.,",Lereux,France,France,Historical
392,Flowers,"Giradin, Mme. Pauline",France,France,Still life
393,"The Sailor'S Arrival In The Midst Of His Family,","Voorips, A.",Holland,Holland,Genre
394,"Blanche De Rose,","Giradin, Mme. Pauline",France,France,Unknown
395,Cattle,Verwee,Holland,Holland,Landscape
396,"Landscape In Greece,","Lapito, A.",Holland,Holland,Landscape
397,"Winter Scene And Skaters,","Leukerk, Ch.",Holland,Holland,Landscape
398,"An Engraving Of The Celebrated Painting Of Paul De La Roche In Paris,","Goupil & Co. (pub.),",New York,USA,Unknown
399,"Two Pastels, [Exhibited By Goupil & Co., N.Y.]",Rochart,France,France,Unknown
401,"Landscape, In Water Colors,","Douler, Eugene",France,France,Landscape
402,"Portraits,","Bell, Zephaniah",England,UK,Portrait
403,"Portrait, In Pastel,","Goupil & Co. (pub.),",New York,USA,Portrait
404,"Portrait - Pastel,","Rochart, B.",France,France,Portrait
405,Awaking,"Rossignon, Octavie",France,France,Unknown
406,Mountain Landscape,"Banquet, Michael",France,France,Landscape
407,"Portrait Of Miss Julia Dean,",Eaton,Cincinnati,USA,Portrait
408,"Portrait, In Water Color,","Casey, W.",Cork,UK,Portrait
409,"Laurier Rose (Rose Laurel),","Girardin, Pauline",France,France,Unknown
410,"View Of Amsterdam From The Heights Of Haarlem,","Destree, J. J.",Holland,Holland,Landscape
411,"Sheep In A Field,","Knip, H. & A. A.",Holland,Holland,Landscape
412,"King Lear,",Oppenheim,Germany,Germany,Literary
413,"The King Of France On The Balcony, Whence He Fired On The Flying Huguenots, On The Night Of St. Bartholomew (On Porcelain),",Unknown,England,UK,Historical
414,"Moonlight, In Pastel,","Burdell, Mrs.",United States,USA,Landscape
415,"Mouth Of A River In Holland,","Waldorp, A.",Holland,Holland,Landscape
416,"Portrait-Italian Costume,","Guffens, G.",Belgium,Belgium,Portrait
417,"Stillwater Bay,","Vanden Blyk, T. J.",Holland,Holland,Maritime
418,"A Girl At The Cellar-Door,","Hove, H.",Holland,Holland,Genre
419,"The Four Ages Of Man'S Life,","Paganini, Cæsar",Florence,Italy,Genre
420,"Landscape-Evening,","Verwee, Louis",Brussels,Belgium,Landscape
421,"Miss Julia Dean In The ""Hunch-Back,""",Eaton,Cincinnati,USA,Portrait
422,"Portrait Of General Walbach, U.S. Army","D'Almaine, George",Illinois,USA,Portrait
423,"Marine View On Panel,","Schilager, P.",Holland,Holland,Maritime
424,"Landscape, On Panel,","Schelfhaut, S.",Holland,Holland,Landscape
425,"Painting On Porcelain,","Petty, H. G.",England,UK,Unknown
426,Landscape,"Verwee, Louis",Brussels,Belgium,Landscape
427,"Requesting Hospitality,","Van Eysden, Robert",Holland,Holland,Genre
428,"Interior Of A Cathedral,","Genisson,",Germany,Germany,Interior
429,"Venice, In Water Colors,","Vacher, Ch.",England,UK,Landscape
430,"Evening In North Wales,","Varley, Cornelius",England,UK,Landscape
431,"Landscape And View Of A River,","Wagener, G. W.",Holland,Holland,Landscape
432,"Marine View And Harbor,","Francio, A.",Belgium,Belgium,Maritime
433,"View Of The Gulf Of Naples,","Thuillier, P.",France,France,Maritime
434,"Spring-Pastel,","Dassel, Mrs.",New York,USA,Unknown
435,"Holy Family (On Copper),",Chantal,Italy,Italy,Religious
436,"Winter Landscape And Skaters,","Verwee, L.",Brussels,Belgium,Landscape
438,"Portrait Of Louis Xiv,",Lebrun,New York,USA,Portrait
439,"A Young Lady (Time Louis Xv.),","Chastainier, Victoire",France,France,Portrait
440,"Sketch From Lã¡Fosse,","Colin, M.",France,France,Unknown
441,"Town In Belgium,","Moer, Van",Belgium,Belgium,Landscape
442,"Ruins,","Moer, Van",Belgium,Belgium,Building
443,"Spanish Group,","Thurwanger, Mme. F.",United States,USA,Unknown
444,"Sleep-Pastel,","Rossignan, Miss",France,France,Genre
445,"Medora And Cupid On Porcelain,",,England,UK,Mythological
446,"View Of A Church,",Ribault,France,France,Building
447,"Winter-Landscape,","Verwee, Louis",Brussels,Belgium,Landscape
448,Marine View,"Schilager, P.",Holland,Holland,Maritime
449,"Field Flowers,","Girardin, Pauline",France,France,Landscape
450,"Copy Of Il Dolce Far Niente,",Unknown,Philadelphia,USA,Portrait
451,"Historical Painting,","Egley, W. Maw",England,UK,Historical
452,"Card-Players, On Porcelain,",Unknown,England,UK,Genre
453,"Game, In Indian-Ink,","De Cocq, C.",Holland,Holland,Genre
454,"Orphan Girl Going To Service,","Bylart, Vanden",Holland,Holland,Genre
455,"Portrait - General Washington,","Flagg, George W.",Charleston,USA,Portrait
456,"View Of A Country Town,","De Haan, J. G.",Holland,Holland,Landscape
457,"Evening Lecture,","Candouee, Mme. Anais",France,France,Genre
458,"Fishing Smack Of Normandy,","Pinel, M.",France,France,Landscape
459,"Interior,","De Vignon, Jules",France,France,Interior
460,"The Conversation,",DeHaussy,France,France,Genre
461,Landscape,"D. Brewerton, George",United States,USA,Landscape
462,"Rip Van Winkle,","Guidar, J.",New York,USA,Literary
463,"Moonlight-Landscape On Panel,","Bylart, Vanden",Holland,Holland,Landscape
464,Mother And Child,"Woolmer, A. J.",England,UK,Genre
465,"A Cook Baking Wafers, On Panel,","Hove, H.",Holland,Holland,Genre
466,"Family Fireside,","Veurdenborg,",Holland,Holland,Genre
467,"Repose,","De Vignon, Jules",France,France,Genre
468,"A Shepherd And Cattle,","Vanderberg, C.",Holland,Holland,Landscape
469,"Shepherds And Shepherdesses In The Woods,","Woolmer, A. J.",England,UK,Landscape
470,"View Of The Environs Of Ar-Bonne,","Bonheur, A.",France,France,Landscape
471,"Company Of Drinkers,","Bylert, J.",Holland,Holland,Genre
472,"Borrowdale Beck, Cumberland,","Ferguson, James",England,UK,Landscape
473,"Two Miniatures,",,New York,USA,Unknown
474,"Scene Of An Inundation On The Borders Of The Loire,","Antigna, A.",France,France,Landscape
475,"Garden Scene,","Woolmer, A. J.",England,UK,Landscape
476,"A Girl Returning Home With Game,","Hove, H.",Holland,Holland,Genre
477,"The Festive Board,",,New York,USA,Genre
478,"Tavern Scene,",,Holland,Holland,Genre
479,"A Sketch From Watteau,","Colin, M.",France,France,Unknown
480,Shipwreck,"Francio, A.",Belgium,Belgium,Maritime
481,"Child And Pet Greyhound,","Champein, Emilio",Belgium,Belgium,Portrait
482,"An Old Ship Stranded, On Panel,","Croverwyk, J. J.",Holland,Holland,Maritime
483,"View Of An Interior,",Plassan,France,France,Interior
484,"Moonlight Scene, On Panel,",Kerkhof,Holland,Holland,Landscape
485,"Sleeping Female,",Schiavoni,Austria,Austria,Genre
486,"Westphalia Landscape And Farm,","Nocken, Theodore",Düsseldorf,Germany,Landscape
487,"Still Water By Moonlight,","Immerzeel, C.",Holland,Holland,Landscape
488,"St. Jerome In The Desert,","Aligny, M.",France,France,Religious
489,"Seizure Of Charlotte Corday After Killing Marat,","O'Connell, F.",France,France,Historical
490,Landscape,"Fiedler, B.",Berlin,Germany,Landscape
491,"View At Candebeck,","Pinel, M.",France,France,Landscape
492,"The Will,","Ferraro,",Florence,Italy,Genre
493,"Interior Of A Harem,","LePaulle, G.",France,France,Interior
494,"The Sultana Nourmahal,","LePaulle, G.",France,France,Portrait
495,"Country Children Playing,","Bylert, J.",Holland,Holland,Genre
496,"Portrait Of Duke Of Wellington, .","Keith, A.",England,UK,Portrait
497,"The Cloister Of St. Marc,","Foyant, T.",France,France,Building
498,"Moorish Fortress And Mill On The Adra In The South Of Spain,","Bossuet, F., Professor at the Royal Col.",Brussels,Belgium,Building
499,"A Hilly Landscape,","Roth, G. A.",Holland,Holland,Landscape
500,"Cattle In A Stable,","Knip, Auguste",Holland,Holland,Animal
501,Shipwreck,"Opderheyde, H. H.",Holland,Holland,Maritime
502,Landscape,Unknown,Belgium,Belgium,Landscape
503,"Entrance Of A Mosque At Rosette,","Bossuet, F.",Belgium,Belgium,Religious
504,"The Reception,","Hoevenaar, C. W.",Holland,Holland,Genre
505,"America,","Gees Corr, Fanny",Belgium,Belgium,Unknown
506,"Winter Scene, Skaters,","Bylert, J.",Holland,Holland,Landscape
507,"Shepherd Receiving Instruction On The Reeds,",Cuminade,France,France,Genre
508,"Tomb Of The Caliphs From Nature,","Bossuet, F.",Belgium,Belgium,Building
509,"Portrait Of A Lady,","Hanau, H. G. P.",Holland,Holland,Portrait
510,"Diogenes Successful,","Anelli, F.",New York,USA,Mythological
511,"Jean Jaques Rousseau, Botanizing,","Viger Duvignan, H.",France,France,Portrait
512,"Evening Prayer,",,England,UK,Genre
513,"Interior Of A Church,","Waldorp, A.",Holland,Holland,Interior
514,"Talent Discovered,","Calisch, Moritz",Holland,Holland,Genre
515,"Portrait,",Unknown,England,UK,Portrait
516,"The Washerwoman,","Hove, H.",Holland,Holland,Genre
617,"A Swiss Landscape,","Lapito, A.",Holland,Holland,Landscape
518,"Washington, On Horseback,","Peale, Rembrandt",New York,USA,Historical
519,"Girl Returning From Market,","Hove, H.",Holland,Holland,Genre
520,"View Of Cantal,","Bonheur, A.",France,France,Landscape
521,Landscape,"De Vigni, Ed.",Belgium,Belgium,Landscape
522,"Winter Scene, Ice Boat","Rose, N. J.",Holland,Holland,Landscape
523,"The Cantatore,",,,,Genre
524,"Midnight Reflections On A Skull,","Van Schendel, P.",France,France,Still life
525,"Christ In The Temple,","Scheffer, H.",Holland,Holland,Religious
526,Marine View,"Wagner, W. G.",France,France,Maritime
527,"Dead Birds,","Coic, M.",Holland,Holland,Still life
528,"View Of A Town In Holland,","Verveer, L. G.",,,Landscape
529,"View Of The Catskill Mountains,","Van Starken-Borgh, J. N. F.",Holland,Holland,Landscape
530,"View Of A Town In Belgium,","Boulanger, F. J.",Ghent,Belgium,Landscape
531,"Dutch Windmill,","Waldorp, A.",Holland,Holland,Landscape
532,Landscape,Elmerichy,France,France,Landscape
533,"The Flemish Lawyer,","Getoni, J.",Belgium,Belgium,Portrait
534,"Portrait Of Chief Justice Marshall,","Martin, J. B.",United States,USA,Portrait
535,"A Farm In Holland,","Immerzeel, C.",Holland,Holland,Landscape
536,Marine View,Barry,France,France,Maritime
537,"View In The Gulf Of Salerno,",Baker,England,UK,Maritime
538,Cattle,"Vanden Sande, D.",Holland,Holland,Landscape
539,"Head Of A Bull,","Verhoeven, A.",Holland,Holland,Animal
540,"Head Of A Bull,","Verhoeven, A.",Holland,Holland,Animal
541,"Child Taking A Thorn From The Foot Of A Shepherd,",Cuminade,France,France,Genre
542,"Game And Shooting Apparatus,","Stolk, Alida",Holland,Holland,Still life
543,"A Mother And Her Child,","Scheffer, H.",France,France,Genre
544,"The Waiter,","Krieger, P.",Holland,Holland,Genre
545,"Portrait Of A Boy,","MASSE,",France,France,Portrait
546,Landscape,"Hans, J. G.",Holland,Holland,Landscape
547,"Scene Of Violence Towards The Peasantry In Feudal Times,",Lugardon,Switzerland,Switzerland,Historical
548,"View Of The Glen Of The Hare, Killarney, Water Color,","Noblet, John",England,UK,Landscape
549,"Shandon Bells,","Kemp, John",England,UK,Unknown
550,"A Hut In Beauce, France,","Wanderburck,",France,France,Landscape
551,"Scene After Shipwreck On The Coast Of Africa,",Beard,France,France,Maritime
552,"View On The Mass, Belgium,","Van Elvers, Pierre T.",Holland,Holland,Landscape
553,"River Station, By Moonlight,","Verhoogh, J.",Holland,Holland,Landscape
554,"Rustic Landscape,",Bodeman,Holland,Holland,Landscape
555,"Sea Shore, By Moonlight,",De Winter,Holland,Holland,Landscape
556,"Lismore Castle, In Water Colors, .","Stopford, R. C.",England,UK,Castle
557,"The Lace-Maker, ",Schlattino,Italy,Italy,Genre
558,"Fisherman'S Hut On Fire,","Hubner, Ch.",France,France,Landscape
559,"Setter And Duck, ","Viardot, Leon",France,France,Animal
560,Wooded Landscape,"Martin, G. A.",Holland,Holland,Landscape
561,Landscape,"Huysen, J. K.",Holland,Holland,Landscape
562,"Landscape And Old Castle,","Destree, J. J.",Holland,Holland,Landscape
563,"Cattle Near A Farm,","De Ryk, C.",Holland,Holland,Landscape
564,Italian Costume,"Dassel, Mrs.",New York,USA,Genre
565,"Dutch Kitchen,  .","Bril, Van",Germany,Germany,Interior
,"View On A Canal,","Hoguet, Ch.",Germany,Germany,Landscape
567,"Family Devotions, .","Hubner, Ch.",Germany,Germany,Genre
568,Landscape,"De Ryk, J. A.",Holland,Holland,Landscape
569,"The Holy Women At The Tomb Of Christ,","Bellucci, G.",Italy,Italy,Religious
570,"Portrait Of A Spanish Lady,",Leomenil,France,France,Portrait
571,"The Knife-Grinder,","Van Hove, H.",Holland,Holland,Genre
572,"View In The Apennines, ",Coignet,France,France,Landscape
573,Landscape With Cattle,Hekking,Holland,Holland,Landscape
574,"An Old Dutch Hall,","Van Hove, H.",Holland,Holland,Building
575,"A Girl In An Ancient Hall,","Van Hove, H.",Holland,Holland,Interior
576,"Fruit,","DeHaussy, Jules",France,France,Still life
577,"Glaciers Of The Bernese Alps,","Berthoud, H.",France,France,Landscape
578,"The Blacksmith Of Naarden,","Egenberger, J. H.",Holland,Holland,Portrait
579,"Muisc, Mathematical Instruments, Books, &C., On A Table,",Dumaresq,France,France,Still life
580,"The Flower Girl, ","Spellemacker, J.",Holland,Holland,Portrait
581,"Landscape In Twilight, In The Forest Of D'Erschinen,","Berthoud, H.",France,France,Landscape
582,Landscape,"Vogel, F. G.",Holland,Holland,Landscape
583,"A Nymph In The Woods Of The God Pan,",Lebouys,France,France,Mythological
584,"A View Of Ireland'S Eye,","Hayes, Edwin",Dublin,UK,Unknown
585,"The Adultress At The Feet Of Christ,","Signol, Em.",France,France,Religious
586,"Swiss Landscape And Bridge ,",Guignon,Geneva,Switzerland,Landscape
587,"View Near Naples,",Coignet,France,France,Landscape
588,Landscape,Rademacker,Holland,Holland,Landscape
589,"Landscape And Water,",,Holland,Holland,Landscape
590,"Woodland And Brook,",Vanden Sande,Holland,Holland,Landscape
591,"Shipwrecked Persons Attacked By A Shark,",Biard,France,France,Maritime
592,"A Landscape And House,","Holstein, E.",Germany,Germany,Landscape
593,"Swiss Girls Depositing Flowers On A Grave,",Lugardon,Switzerland,Switzerland,Genre
594,"The Lovers' Meeting,","Serrerure, Aug.",Holland,Holland,Genre
595,"View Of Hte Entrance Of The Great Chartreuse In Gre-Noble,",Ricosi,France,France,Landscape
596,"Christ Pardoning The Adulteress,","Signol, Em.",France,France,Religious
597,"Aischa, The Slave Of Solyman Ii., Made Prisoner By The Hungarians,Adopts The Chris-Tian Religion At The Altar Before The Attack Of The Citadel By The Turks, 1566,","Van Elven, Paul T.",Holland,Holland,Historical
598,"A Social Chat,",Montfollet,France,France,Genre
599,"Ruth Gleaning,  .",Lugardon,Switzerland,Switzerland,Religious
600,"Landscape View In Norway,","Grolig, C.",France,France,Landscape
601,Shipwreck,Tanneur,Holland,Holland,Maritime
602,"The Borders Of The Seine,",Vanderbuch,France,France,Landscape
603,"Flemish Market Women By Can-Dlelight,","Van Schendel, P.",Belgium,Belgium,Genre
604,Winter Landscape,"Koekoek, B. C.",Holland,Holland,Landscape
605,"Indecision,","LePaulle, G.",France,France,Genre
606,"Farm-Yard Scene, House, &C.,","Honnior, J. F.",Belgium,Belgium,Building
607,"Country Girl,","Kindt, Adele",Belgium,Belgium,Genre
608,"Mother And Her Boy Fleeing From Her Home On Fire, Taken From The War In Hungary,","Kindt, Adele",Belgium,Belgium,Historical
609,"The Castle Of Chateaudun,","Ouvrie, Justin",France,France,Castle
610,"The Bookworm,",,Munich,Germany,Genre
611,Landscape,"Koekoek, B. C.",Holland,Holland,Landscape
612,"Goats In The Mountains,","Humbert, N.",Geneva,Switzerland,Landscape
613,"View Of Mount Vesuvius In 1838, During The Eruption,",,France,France,Landscape
614,Cattle,"Knip, Henriette",Holland,Holland,Landscape
615,View Of A Port And Shipping,"Waldorp, A.",Holland,Holland,Maritime
616,"Washington Crossing The Dela-Ware,","Leutze, E.",United States,USA,Historical
617,"The Happy Little Savoyards, .",Unknown,England,UK,Genre
618,"Boy Playing With A Mouse,","Lillers, H.",Belgium,Belgium,Genre
619,"A Ravine,",Bouquet,,,Landscape
620,"Dressing For A Meeting,","Van Oudenhoven, J.",Holland,Holland,Genre
621,"View Of Paris, Bellevue,","Vernet, H. and Grolig",France,France,Landscape
622,"Sappho,","Gees Corr, Fanny",Belgium,Belgium,Mythological
623,"View Taken From The Terrace Of St. Germain En Layes,",Ricois,France,France,Landscape
624,"Children Playing In The Garden Of Hte Tuileries, Paris,","Schmidt, Linden",France,France,Landscape
625,The Calabrese In Rome,Polakc,Austria,Austria,Landscape
626,Outside Of A Farmhouse,"Huygens, H.",Holland,Holland,Landscape
627,Landscape,"Ortmans, Augustus",Holland,Holland,Landscape
628,"The Oath Of The Swiss Patriots,",Unknown,Switzerland,Switzerland,Historical
629,"Christopher Columbus At Sala-Manca,","Colin, A.",France,France,Religious
630,"A Monk Preaching In The Coli-Seum,",Flavio,England,UK,Religious
631,"Waterfall,","Coignet, J.",Germany,Germany,Landscape
632,"The Recruit Of Brittany,","Heuvel, T. D.",Belgium,Belgium,Portrait
633,"Dutch Farmers Playing At Draughts,",,England,UK,Genre
634,"View Taken On The Bank Of The Seine, Near Paris,","Giroux, A.",France,France,Landscape
635,"Ophelia,","Gees Corr, Fanny",Belgium,Belgium,Literary
636,"Stillwater Bay,","Van Den Blyk, F. J.",Holland,Holland,Landscape
637,"View Of The Tower Of Notre Dame At Antwerp,","Bossuet, M. F.",Belgium,Belgium,Building
638,"The Country Boy,","Smith, Miss C.",England,UK,Genre
639,"Landscape, Sunrise,","Pelgrom, J.",Holland,Holland,Landscape
640,"Battle Of Leipsic, In 1630,","Lindenschmidt, W.",France,France,Battle
641,"The Brigand At Home [The Pro-Perty Of Colonel Preston, Of South Carolina,]","Deveaux,",United States,USA,Genre
642,"Portrait Of General Washington,","Leslie, Miss. A.",United States,USA,Portrait
643,Nero And Narcissus . .,"Colin, A.",France,France,Mythological
644,Landscape,"Hamilton, M.",Canada West,Canada,Landscape
645,"Justice Sitting On A Throne,","De Pereda, Anthony",,,Mythological
646,"Miniature Of A Gentleman,","Wagener, Miss",Albany,USA,Portrait
647,"Innocence, A Miniature.","Wagener, Miss",Albany,USA,Genre
648,"Artemisia Drinking The Ashes Of Her Hus-Band,","Piane, Delle",Genoa,Italy,Historical
649,Madonna And Child,Murillo,Spain,Spain,Religious
650,Portrait Of A Gentleman,Blondell,New York,USA,Portrait
651,"Battle Of Culm. Emperor Alexander Of Russia, And King Of Prussia, And Marshal Vandam As Prisoner.","Rechlin, Professor",Berlin,Germany,Battle